cylinders,displacement_litre,power_kw,weight_ton,acceleration,model year,car name,kmperlitre
4,2.3,65,1.311,17.3,79,ford fairmont 4,9.48
6,3.8,66,1.481,18.2,79,amc concord dl 6,8.59
6,3.7,81,1.524,16.6,79,dodge aspen 6,8.76
8,5,96,1.742,15.4,79,chevrolet caprice classic,7.23
8,4.9,95,1.69,13.4,79,ford ltd landau,7.48
8,5.8,101,1.794,13.2,79,mercury grand marquis,7.01
8,5.2,99,1.737,15.2,79,dodge st. regis,7.74
8,5.7,114,1.978,14.9,79,buick estate wagon (sw),7.18
8,5.8,104,1.839,14.3,79,ford country squire (sw),6.59
8,4.4,92,1.635,15,79,chevrolet malibu classic (sw),8.16
8,5.9,110,1.787,13,79,chrysler lebaron town @ country (sw),7.87
4,1.5,52,0.873,14,79,vw rabbit custom,13.56
4,1.4,48,0.896,15.2,79,maxda glc deluxe,14.5
4,1.6,59,0.869,14.4,79,dodge colt hatchback custom,15.18
4,2,59,1.211,15,79,amc spirit dl,11.65
5,3,57,1.601,20.1,79,mercedes benz 300d,10.8
8,5.7,92,1.769,17.4,79,cadillac eldorado,9.78
4,2.3,52,1.447,24.8,79,peugeot 504,11.56
8,4.3,66,1.551,22.2,79,oldsmobile cutlass salon brougham,10.16
4,1.7,51,0.998,13.2,79,plymouth horizon,14.54
4,1.7,51,0.975,14.9,79,plymouth horizon tc3,14.67
4,1.4,48,0.916,19.2,79,datsun 210,13.52
4,1.5,51,0.966,14.7,79,fiat strada custom,15.86
4,2.5,66,1.211,16,79,buick skylark limited,12.07
6,2.8,85,1.177,11.3,79,chevrolet citation,12.24
6,2.8,85,1.225,12.9,79,oldsmobile omega brougham,11.39
4,2.5,66,1.159,13.2,79,pontiac phoenix,14.24
4,1.6,56,0.973,14.7,80,vw rabbit,17.64
4,1.5,44,0.893,18.8,80,toyota corolla tercel,16.2
4,1.6,51,0.962,15.5,80,chevrolet chevette,13.65
4,1.4,48,0.916,16.4,80,datsun 310,15.82
4,2.5,66,1.215,16.5,80,chevrolet citation,11.9
4,2.3,65,1.302,18.1,80,ford fairmont,11.22
4,2.5,66,1.362,20.1,80,amc concord,10.33
6,3.7,66,1.534,18.7,80,dodge aspen,8.12
4,1.6,57,0.992,15.8,80,audi 4000,14.58
4,2.2,66,1.23,15.5,80,toyota corona liftback,12.67
4,2,55,1.153,17.5,80,mazda 626,13.31
4,2,68,1.104,15,80,datsun 510 hatchback,15.73
4,1.8,55,1.027,15.2,80,toyota corolla,13.69
4,1.4,48,0.957,17.9,80,mazda glc,19.81
4,2.6,77,1.27,14.4,80,dodge colt,11.86
4,1.4,48,0.957,19.2,80,datsun 210,17.35
4,1.5,35,0.946,21.7,80,vw rabbit c (diesel),18.83
4,1.5,35,1.059,23.7,80,vw dasher (diesel),18.45
5,2,49,1.338,19.9,80,audi 5000s (diesel),15.48
4,2.4,49,1.474,21.8,80,mercedes-benz 240d,12.75
4,1.5,49,0.839,13.8,80,honda civic 1500 gl,18.96
4,1.6,49,0.973,18,80,subaru dl,14.37
4,1.5,46,0.837,15.3,80,vokswagen rabbit,12.67
6,2.8,97,1.32,11.4,80,datsun 280-zx,13.9
3,1.1,74,1.098,12.5,80,mazda rx-7 gs,10.08
4,2,65,1.134,15.1,80,triumph tr7 coupe,14.88
4,1.8,53,1.039,17,80,honda accord,13.77
4,2.2,62,1.129,15.7,81,plymouth reliant,11.56
4,2.5,62,1.195,16.4,81,buick skylark,11.31
4,2.6,68,1.188,14.4,81,dodge aries wagon (sw),10.97
6,2.8,81,1.236,12.6,81,chevrolet citation,9.99
4,2.2,62,1.082,12.9,81,plymouth reliant,12.75
4,1.3,43,0.796,16.9,81,toyota starlet,16.62
4,1.4,47,0.85,16.4,81,plymouth champ,16.58
4,1.3,44,0.798,16.1,81,honda civic 1300,14.92
4,1.6,49,0.937,17.8,81,subaru,13.73
4,1.4,48,0.896,19.4,81,datsun 210 mpg,15.73
4,1.5,46,0.93,17.3,81,toyota tercel,16.03
4,1.5,50,0.9,16,81,mazda glc 4,14.5
4,1.7,46,1.005,14.9,81,plymouth horizon 4,14.75
4,1.6,48,0.928,16.2,81,ford escort 4w,14.62
4,1.6,48,1.08,20.7,81,ford escort 2h,12.71
4,1.7,54,0.993,14.2,81,volkswagen jetta,14.03
4,1.8,55,1.002,14.4,81,honda prelude,14.33
4,1.8,55,1.066,16.8,81,toyota corolla,13.77
4,2,74,1.186,14.8,81,datsun 200sx,13.99
4,2,54,1.195,18.3,81,mazda 626,13.43
4,2.3,59,1.465,20.4,81,peugeot 505s turbo diesel,11.95
6,2.4,56,1.433,19.6,81,volvo diesel,13.05
6,2.8,85,1.315,12.6,81,toyota cressida,10.8
6,2.4,88,1.329,13.8,81,datsun 810 maxima,10.29
6,3.8,81,1.549,15.8,81,buick century,9.52
8,5.7,77,1.69,19,81,oldsmobile cutlass ls,11.31
6,3.3,65,1.388,17.1,81,ford granada gl,8.59
6,3.7,63,1.572,16.6,81,chrysler lebaron salon,7.48
4,1.8,65,1.182,19.6,82,chevrolet cavalier,11.9
4,1.8,65,1.197,18.6,82,chevrolet cavalier wagon,11.48
4,1.8,65,1.086,18,82,chevrolet cavalier 2-door,14.45
4,1.8,63,1.168,16.2,82,pontiac j2000 se hatchback,13.18
4,2.2,62,1.145,16,82,dodge aries se,12.33
4,2.5,66,1.241,18,82,pontiac phoenix,11.48
4,2.3,68,1.3,16.4,82,ford fairmont futura,10.2
4,1.7,54,0.898,15.3,82,volkswagen rabbit l,15.31
4,1.5,50,0.919,18.2,82,mazda glc custom l,15.73
4,1.5,50,0.894,17.6,82,mazda glc custom,13.18
4,1.7,46,0.964,14.7,82,plymouth horizon miser,16.16
4,1.6,51,0.964,17.3,82,mercury lynx l,15.31
4,2,65,0.98,14.5,82,nissan stanza xe,15.31
4,1.8,55,1,14.5,82,honda accord,15.31
4,1.8,51,1.018,16.9,82,toyota corolla,14.45
4,1.5,49,0.891,15,82,honda civic,16.16
4,1.5,49,0.891,15.7,82,honda civic (auto),13.6
4,1.5,49,0.905,16.2,82,datsun 310 gx,16.16
6,3,81,1.336,16.4,82,buick century limited,10.63
6,4.3,63,1.368,17,82,oldsmobile cutlass ciera (diesel),16.16
4,2.6,68,1.173,14.5,82,chrysler lebaron medallion,11.05
6,3.8,82,1.286,14.7,82,ford granada l,9.35
4,2.4,71,1.209,13.9,82,toyota celica gt,13.6
4,2.2,62,1.075,13,82,dodge charger 2.2,15.31
4,2.5,66,1.338,17.3,82,chevrolet camaro,11.48
4,2.3,63,1.266,15.6,82,ford mustang gl,11.48
4,1.6,38,0.966,24.6,82,vw pickup,18.71
4,2.2,62,1.041,11.6,82,dodge rampage,13.6
4,2,58,1.191,18.6,82,ford ranger,11.9
4,2,60,1.234,19.4,82,chevy s-10,13.18
